,country,freq
57,Mexico,598
1,Afghanistan,84
68,Philippines,74
35,Haiti,65
36,Honduras,46
23,Dominican Republic,45
43,Jamaica,39
26,El Salvador,34
21,Costa Rica,27
33,Guatemala,26
19,Colombia,25
8,Belize,16
24,Ecuador,12
83,Thailand,11
63,Nigeria,10
4,Bahamas,9
39,Iraq,9
65,Panama,9
94,Yemen,9
10,Brazil,8
64,Pakistan,8
86,Turkey,8
34,Guyana,7
41,Israel,7
62,Nicaragua,7
85,Trinidad and Tobago,7
47,Kenya,6
61,Netherlands,6
7,Belgium,5
18,China,5
25,Egypt,5
30,Germany,5
37,India,5
45,Jerusalem,5
71,Qatar,5
92,Venezuela,5
3,Australia,4
5,Barbados,4
50,Lebanon,4
67,Peru,4
77,Somalia,4
81,Syria,4
2,Albania,3
31,Greece,3
46,Jordan,3
48,Korea,3
66,Paraguay,3
73,Russia,3
78,South Africa,3
79,Spain,3
12,Cabo Verde (formerly Cape Verde),2
13,Cambodia,2
14,Cameroon,2
15,Canada,2
22,Cuba,2
29,France,2
42,Italy,2
44,Japan,2
74,Saudi Arabia,2
82,Tanzania,2
84,Tonga,2
89,United Arab Emirates,2
6,Belarus,1
9,Bosnia-Herzegovina,1
11,Burkina Faso,1
16,Cayman Islands,1
17,Chile,1
20,Congo,1
27,Ethiopia,1
28,Finland,1
32,Grenada,1
38,Indonesia,1
40,Ireland,1
49,Kuwait,1
51,Lesotho,1
52,Libya,1
53,Macedonia,1
54,Malaysia,1
55,Mali,1
56,Malta,1
58,Micronesia,1
59,Moldova,1
60,Mozambique,1
69,Poland,1
70,Portugal,1
72,Romania,1
75,Singapore,1
76,Slovak Republic,1
80,Sri Lanka,1
87,Uganda,1
88,Ukraine,1
90,United Kingdom,1
91,Uruguay,1
93,Vietnam,1
